PRIMARY_ID,BioSample,BioProject,SRA_ID
SRX1388732,SAMN03283347,PRJNA200694,SRA307500
SRX1082031,SAMN03255769,PRJNA269593,SRA219090
SRX1033794,SAMN03283347,PRJNA200694,SRA268962
SRX1033793,SAMN03283347,PRJNA200694,SRA268962
SRX1009644,SAMN03255769,PRJNA269593,SRA219090
SRX1009642,SAMN03255769,PRJNA269593,SRA219090
SRX1009641,SAMN03255769,PRJNA269593,SRA219090
SRX1009640,SAMN03255769,PRJNA269593,SRA219090
SRX1009638,SAMN03255769,PRJNA269593,SRA219090
SRX847094,SAMN03283347,PRJNA200694,SRA229924
SRX852933,SAMN03283347,PRJNA200694,SRA229887
SRX848005,SAMN03283347,PRJNA200694,SRA229887
SRX848004,SAMN03283347,PRJNA200694,SRA229887
SRX848003,SAMN03283347,PRJNA200694,SRA229887
SRX848002,SAMN03283347,PRJNA200694,SRA229887
SRX848001,SAMN03283347,PRJNA200694,SRA229887
SRX848000,SAMN03283347,PRJNA200694,SRA229887
SRX847999,SAMN03283347,PRJNA200694,SRA229887
SRX847998,SAMN03283347,PRJNA200694,SRA229887
SRX847997,SAMN03283347,PRJNA200694,SRA229887
SRX847996,SAMN03283347,PRJNA200694,SRA229887
SRX847995,SAMN03283347,PRJNA200694,SRA229887
SRX847994,SAMN03283347,PRJNA200694,SRA229887
SRX847993,SAMN03283347,PRJNA200694,SRA229887
SRX847992,SAMN03283347,PRJNA200694,SRA229887
SRX847991,SAMN03283347,PRJNA200694,SRA229887
SRX847990,SAMN03283347,PRJNA200694,SRA229887
SRX847989,SAMN03283347,PRJNA200694,SRA229887
SRX847988,SAMN03283347,PRJNA200694,SRA229887
SRX847987,SAMN03283347,PRJNA200694,SRA229887
SRX847986,SAMN03283347,PRJNA200694,SRA229887
SRX847985,SAMN03283347,PRJNA200694,SRA229887
SRX847984,SAMN03283347,PRJNA200694,SRA229887
SRX847983,SAMN03283347,PRJNA200694,SRA229887
SRX847982,SAMN03283347,PRJNA200694,SRA229887
SRX847981,SAMN03283347,PRJNA200694,SRA229887
SRX847980,SAMN03283347,PRJNA200694,SRA229887
SRX847979,SAMN03283347,PRJNA200694,SRA229887
SRX847978,SAMN03283347,PRJNA200694,SRA229887
SRX847977,SAMN03283347,PRJNA200694,SRA229887
SRX847976,SAMN03283347,PRJNA200694,SRA229887
SRX847975,SAMN03283347,PRJNA200694,SRA229887
SRX847974,SAMN03283347,PRJNA200694,SRA229887
SRX847973,SAMN03283347,PRJNA200694,SRA229887
SRX847972,SAMN03283347,PRJNA200694,SRA229887
SRX847971,SAMN03283347,PRJNA200694,SRA229887
SRX847970,SAMN03283347,PRJNA200694,SRA229887
SRX847969,SAMN03283347,PRJNA200694,SRA229887
SRX847968,SAMN03283347,PRJNA200694,SRA229887
SRX847967,SAMN03283347,PRJNA200694,SRA229887
SRX847966,SAMN03283347,PRJNA200694,SRA229887
SRX847965,SAMN03283347,PRJNA200694,SRA229887
SRX847964,SAMN03283347,PRJNA200694,SRA229887
SRX847963,SAMN03283347,PRJNA200694,SRA229887
SRX847962,SAMN03283347,PRJNA200694,SRA229887
SRX847961,SAMN03283347,PRJNA200694,SRA229887
SRX847960,SAMN03283347,PRJNA200694,SRA229887
SRX847959,SAMN03283347,PRJNA200694,SRA229887
SRX847958,SAMN03283347,PRJNA200694,SRA229887
SRX847957,SAMN03283347,PRJNA200694,SRA229887
SRX847956,SAMN03283347,PRJNA200694,SRA229887
SRX847955,SAMN03283347,PRJNA200694,SRA229887
SRX847954,SAMN03283347,PRJNA200694,SRA229887
