PRIMARY_ID,BioSample,BioProject,SRA_ID
SRX9101265,SAMN03255769,PRJNA559484,SRA1123283
SRX9101264,SAMN03255769,PRJNA559484,SRA1123283
SRX9101263,SAMN03255769,PRJNA559484,SRA1123283
SRX9101262,SAMN03255769,PRJNA559484,SRA1123283
SRX9101261,SAMN03255769,PRJNA559484,SRA1123283
SRX9101260,SAMN03255769,PRJNA559484,SRA1123283
SRX9101259,SAMN03255769,PRJNA559484,SRA1123283
SRX9101258,SAMN03255769,PRJNA559484,SRA1123283
SRX9101257,SAMN03255769,PRJNA559484,SRA1123283
SRX9101256,SAMN03255769,PRJNA559484,SRA1123283
SRX9101255,SAMN03255769,PRJNA559484,SRA1123283
SRX9101254,SAMN03255769,PRJNA559484,SRA1123283
SRX9101253,SAMN03255769,PRJNA559484,SRA1123283
SRX9101252,SAMN03255769,PRJNA559484,SRA1123283
SRX9101251,SAMN03255769,PRJNA559484,SRA1123283
SRX9101250,SAMN03255769,PRJNA559484,SRA1123283
SRX9101249,SAMN03255769,PRJNA559484,SRA1123283
SRX9101248,SAMN03255769,PRJNA559484,SRA1123283
SRX9101247,SAMN03255769,PRJNA559484,SRA1123283
SRX9101246,SAMN03255769,PRJNA559484,SRA1123283
SRX9101245,SAMN03255769,PRJNA559484,SRA1123283
SRX9101244,SAMN03255769,PRJNA559484,SRA1123283
SRX9101243,SAMN03255769,PRJNA559484,SRA1123283
SRX9101242,SAMN03255769,PRJNA559484,SRA1123283
SRX9101241,SAMN03255769,PRJNA559484,SRA1123283
SRX9101240,SAMN03255769,PRJNA559484,SRA1123283
SRX9101239,SAMN03255769,PRJNA559484,SRA1123283
SRX9101238,SAMN03255769,PRJNA559484,SRA1123283
SRX9101237,SAMN03255769,PRJNA559484,SRA1123283
SRX9101236,SAMN03255769,PRJNA559484,SRA1123283
SRX9101235,SAMN03255769,PRJNA559484,SRA1123283
SRX9101234,SAMN03255769,PRJNA559484,SRA1123283
SRX9101233,SAMN03255769,PRJNA559484,SRA1123283
SRX9101232,SAMN03255769,PRJNA559484,SRA1123283
SRX9101231,SAMN03255769,PRJNA559484,SRA1123283
SRX9101230,SAMN03255769,PRJNA559484,SRA1123283
SRX9101229,SAMN03255769,PRJNA559484,SRA1123283
SRX9101228,SAMN03255769,PRJNA559484,SRA1123283
SRX9101227,SAMN03255769,PRJNA559484,SRA1123283
SRX9052776,SAMN03255769,PRJNA559484,SRA1119788
SRX9052775,SAMN03255769,PRJNA559484,SRA1119788
SRX9052774,SAMN03255769,PRJNA559484,SRA1119788
SRX9052773,SAMN03255769,PRJNA559484,SRA1119788
SRX9052772,SAMN03255769,PRJNA559484,SRA1119788
SRX9052771,SAMN03255769,PRJNA559484,SRA1119788
SRX9052770,SAMN03255769,PRJNA559484,SRA1119788
SRX9052769,SAMN03255769,PRJNA559484,SRA1119788
SRX9052768,SAMN03255769,PRJNA559484,SRA1119788
SRX9052767,SAMN03255769,PRJNA559484,SRA1119788
SRX9052766,SAMN03255769,PRJNA559484,SRA1119788
SRX9052765,SAMN03255769,PRJNA559484,SRA1119788
SRX9052764,SAMN03255769,PRJNA559484,SRA1119788
SRX9052763,SAMN03255769,PRJNA559484,SRA1119788
SRX9052762,SAMN03255769,PRJNA559484,SRA1119788
SRX9052761,SAMN03255769,PRJNA559484,SRA1119788
SRX9052760,SAMN03255769,PRJNA559484,SRA1119788
SRX9052759,SAMN03255769,PRJNA559484,SRA1119788
SRX9052758,SAMN03255769,PRJNA559484,SRA1119788
SRX9052757,SAMN03255769,PRJNA559484,SRA1119788
SRX9052756,SAMN03255769,PRJNA559484,SRA1119788
SRX9052755,SAMN03255769,PRJNA559484,SRA1119788
SRX9052754,SAMN03255769,PRJNA559484,SRA1119788
SRX9052753,SAMN03255769,PRJNA559484,SRA1119788
SRX9009501,SAMN03255769,PRJNA559484,SRA1117477
SRX9009500,SAMN03255769,PRJNA559484,SRA1117477
SRX6770750,SAMN03255769,PRJNA559484,SRA951771
SRX6770749,SAMN03255769,PRJNA559484,SRA951771
SRX6770748,SAMN03255769,PRJNA559484,SRA951771
SRX6770747,SAMN03255769,PRJNA559484,SRA951771
SRX6770746,SAMN03255769,PRJNA559484,SRA951771
SRX6770745,SAMN03255769,PRJNA559484,SRA951771
SRX6770744,SAMN03255769,PRJNA559484,SRA951771
SRX6770743,SAMN03255769,PRJNA559484,SRA951771
SRX6770742,SAMN03255769,PRJNA559484,SRA951771
SRX6770741,SAMN03255769,PRJNA559484,SRA951771
SRX6770740,SAMN03255769,PRJNA559484,SRA951771
SRX6770739,SAMN03255769,PRJNA559484,SRA951771
SRX6770738,SAMN03255769,PRJNA559484,SRA951771
SRX6770737,SAMN03255769,PRJNA559484,SRA951771
SRX6770736,SAMN03255769,PRJNA559484,SRA951771
SRX6770735,SAMN03255769,PRJNA559484,SRA951771
SRX6770734,SAMN03255769,PRJNA559484,SRA951771
SRX6770733,SAMN03255769,PRJNA559484,SRA951771
SRX6770732,SAMN03255769,PRJNA559484,SRA951771
SRX6770731,SAMN03255769,PRJNA559484,SRA951771
SRX6770730,SAMN03255769,PRJNA559484,SRA951771
SRX6770729,SAMN03255769,PRJNA559484,SRA951771
SRX6770728,SAMN03255769,PRJNA559484,SRA951771
SRX6770727,SAMN03255769,PRJNA559484,SRA951771
SRX6770726,SAMN03255769,PRJNA559484,SRA951771
SRX6770725,SAMN03255769,PRJNA559484,SRA951771
SRX6770724,SAMN03255769,PRJNA559484,SRA951771
SRX6770723,SAMN03255769,PRJNA559484,SRA951771
SRX6770722,SAMN03255769,PRJNA559484,SRA951771
SRX6770721,SAMN03255769,PRJNA559484,SRA951771
SRX6770720,SAMN03255769,PRJNA559484,SRA951771
SRX6770719,SAMN03255769,PRJNA559484,SRA951771
SRX6770718,SAMN03255769,PRJNA559484,SRA951771
SRX6770717,SAMN03255769,PRJNA559484,SRA951771
SRX6770716,SAMN03255769,PRJNA559484,SRA951771
SRX6770715,SAMN03255769,PRJNA559484,SRA951771
SRX6770714,SAMN03255769,PRJNA559484,SRA951771
SRX6770713,SAMN03255769,PRJNA559484,SRA951771
SRX6770712,SAMN03255769,PRJNA559484,SRA951771
SRX6770711,SAMN03255769,PRJNA559484,SRA951771
SRX6770710,SAMN03255769,PRJNA559484,SRA951771
SRX6770709,SAMN03255769,PRJNA559484,SRA951771
SRX6770708,SAMN03255769,PRJNA559484,SRA951771
SRX6770707,SAMN03255769,PRJNA559484,SRA951771
SRX6770706,SAMN03255769,PRJNA559484,SRA951771
SRX6770705,SAMN03255769,PRJNA559484,SRA951771
SRX6770704,SAMN03255769,PRJNA559484,SRA951771
SRX6770703,SAMN03255769,PRJNA559484,SRA951771
SRX6770702,SAMN03255769,PRJNA559484,SRA951771
SRX6770701,SAMN03255769,PRJNA559484,SRA951771
SRX6770700,SAMN03255769,PRJNA559484,SRA951771
SRX6770699,SAMN03255769,PRJNA559484,SRA951771
SRX6770698,SAMN03255769,PRJNA559484,SRA951771
SRX6770697,SAMN03255769,PRJNA559484,SRA951771
